star,year,award
 Frances McDormand ,2018,Oscar
 Sally Hawkins ,2018,Oscar
 Margot Robbie ,2018,Oscar
 Saoirse Ronan ,2018,Oscar
 Meryl Streep ,2018,Oscar
 Allison Janney ,2018,Oscar
 Mary J. Blige ,2018,Oscar
 Lesley Manville ,2018,Oscar
 Laurie Metcalf ,2018,Oscar
 Octavia Spencer ,2018,Oscar
 Rami Malek ,2019,Oscar
 Christian Bale ,2019,Oscar
 Bradley Cooper ,2019,Oscar
 Willem Dafoe ,2019,Oscar
 Viggo Mortensen ,2019,Oscar
 Mahershala Ali ,2019,Oscar
 Adam Driver ,2019,Oscar
 Sam Elliott ,2019,Oscar
 Richard E. Grant ,2019,Oscar
 Sam Rockwell ,2019,Oscar
 Olivia Colman ,2019,Oscar
 Yalitza Aparicio ,2019,Oscar
 Glenn Close ,2019,Oscar
 Lady Gaga ,2019,Oscar
 Melissa McCarthy ,2019,Oscar
 Regina King ,2019,Oscar
 Amy Adams ,2019,Oscar
 Marina de Tavira ,2019,Oscar
 Emma Stone ,2019,Oscar
 Rachel Weisz ,2019,Oscar
 Joaquin Phoenix ,2020,Oscar
 Antonio Banderas ,2020,Oscar
 Leonardo DiCaprio ,2020,Oscar
 Adam Driver ,2020,Oscar
 Jonathan Pryce ,2020,Oscar
 Brad Pitt ,2020,Oscar
 Tom Hanks ,2020,Oscar
 Anthony Hopkins ,2020,Oscar
 Al Pacino ,2020,Oscar
 Joe Pesci ,2020,Oscar
 Renée Zellweger ,2020,Oscar
 Cynthia Erivo ,2020,Oscar
 Scarlett Johansson ,2020,Oscar
 Saoirse Ronan ,2020,Oscar
 Charlize Theron ,2020,Oscar
 Laura Dern ,2020,Oscar
 Kathy Bates ,2020,Oscar
 Scarlett Johansson ,2020,Oscar
 Florence Pugh ,2020,Oscar
 Margot Robbie ,2020,Oscar
Isabelle Huppert,2020,Golden Globes
Amy Adams,2020,Golden Globes
Jessica Chastain,2020,Golden Globes
Ruth Negga,2020,Golden Globes
Natalie Portman,2020,Golden Globes
Brie Larson,2019,Golden Globes
Saoirse Ronan,2019,Golden Globes
Cate Blanchett,2019,Golden Globes
Rooney Mara,2019,Golden Globes
Alicia Vikander,2019,Golden Globes
Julianne Moore,2018,Golden Globes
Reese Witherspoon,2018,Golden Globes
Jennifer Aniston,2018,Golden Globes
Felicity Jones,2018,Golden Globes
Rosamund Pike,2018,Golden Globes
Cate Blanchett,2017,Golden Globes
Sandra Bullock,2017,Golden Globes
Judi Dench,2017,Golden Globes
Kate Winslet,2017,Golden Globes
Emma Thompson,2017,Golden Globes
Jessica Chastain,2016,Golden Globes
Naomi Watts,2016,Golden Globes
Rachel Weisz,2016,Golden Globes
Marion Cotillard,2016,Golden Globes
Helen Mirren,2016,Golden Globes
Meryl Streep,2015,Golden Globes
Glenn Close,2015,Golden Globes
Viola Davis,2015,Golden Globes
Rooney Mara,2015,Golden Globes
Tilda Swinton,2015,Golden Globes
Natalie Portman,2014,Golden Globes
Nicole Kidman,2014,Golden Globes
Jennifer Lawrence,2014,Golden Globes
Michelle Williams,2014,Golden Globes
Halle Berry,2014,Golden Globes
Sandra Bullock,2013,Golden Globes
Emily Blunt,2013,Golden Globes
Helen Mirren,2013,Golden Globes
Carey Mulligan,2013,Golden Globes
Gabourey Sidibe,2013,Golden Globes
Kate Winslet,2012,Golden Globes
Meryl Streep,2012,Golden Globes
Anne Hathaway,2012,Golden Globes
Angelina Jolie,2012,Golden Globes
Kristin Scott Thomas,2012,Golden Globes
Julie Christie,2011,Golden Globes
Jodie Foster,2011,Golden Globes
Angelina Jolie,2011,Golden Globes
Keira Knightley,2011,Golden Globes
Cate Blanchett,2011,Golden Globes
Helen Mirren,2010,Golden Globes
Judi Dench,2010,Golden Globes
Maggie Gyllenhaal,2010,Golden Globes
Kate Winslet,2010,Golden Globes
Penélope Cruz,2010,Golden Globes
Felicity Huffman,2009,Golden Globes
Maria Bello,2009,Golden Globes
Gwyneth Paltrow,2009,Golden Globes
Charlize Theron,2009,Golden Globes
Ziyi Zhang,2009,Golden Globes
Hilary Swank,2008,Golden Globes
Uma Thurman,2008,Golden Globes
Scarlett Johansson,2008,Golden Globes
Nicole Kidman,2008,Golden Globes
Imelda Staunton,2008,Golden Globes
Charlize Theron,2007,Golden Globes
Uma Thurman,2007,Golden Globes
Evan Rachel Wood,2007,Golden Globes
Cate Blanchett,2007,Golden Globes
Scarlett Johansson,2007,Golden Globes
Nicole Kidman,2006,Golden Globes
Nicole Kidman,2006,Golden Globes
Salma Hayek,2006,Golden Globes
Diane Lane,2006,Golden Globes
Julianne Moore,2006,Golden Globes
Meryl Streep,2005,Golden Globes
Sissy Spacek,2005,Golden Globes
Nicole Kidman,2005,Golden Globes
Halle Berry,2005,Golden Globes
Judi Dench,2005,Golden Globes
Julia Roberts,2004,Golden Globes
Joan Allen,2004,Golden Globes
Björk,2004,Golden Globes
Ellen Burstyn,2004,Golden Globes
Laura Linney,2004,Golden Globes
Hilary Swank,2003,Golden Globes
Meryl Streep,2003,Golden Globes
Sigourney Weaver,2003,Golden Globes
Annette Bening,2003,Golden Globes
Julianne Moore,2003,Golden Globes
Cate Blanchett,2002,Golden Globes
Fernanda Montenegro,2002,Golden Globes
Susan Sarandon,2002,Golden Globes
Meryl Streep,2002,Golden Globes
Emily Watson,2002,Golden Globes
Judi Dench,2001,Golden Globes
Helena Bonham Carter,2001,Golden Globes
Jodie Foster,2001,Golden Globes
Jessica Lange,2001,Golden Globes
Kate Winslet,2001,Golden Globes
Brenda Blethyn,2000,Golden Globes
Emily Watson,2000,Golden Globes
Courtney Love,2000,Golden Globes
Kristin Scott Thomas,2000,Golden Globes
Meryl Streep,2000,Golden Globes
Sharon Stone,1999,Golden Globes
Susan Sarandon,1999,Golden Globes
Elisabeth Shue,1999,Golden Globes
Meryl Streep,1999,Golden Globes
Emma Thompson,1999,Golden Globes
Jessica Lange,1998,Golden Globes
Meryl Streep,1998,Golden Globes
Jodie Foster,1998,Golden Globes
Jennifer Jason Leigh,1998,Golden Globes
Miranda Richardson,1998,Golden Globes
Holly Hunter,1997,Golden Globes
Juliette Binoche,1997,Golden Globes
Michelle Pfeiffer,1997,Golden Globes
Emma Thompson,1997,Golden Globes
Debra Winger,1997,Golden Globes
Emma Thompson,1996,Golden Globes
Mary McDonnell,1996,Golden Globes
Michelle Pfeiffer,1996,Golden Globes
Susan Sarandon,1996,Golden Globes
Sharon Stone,1996,Golden Globes
Jodie Foster,1995,Golden Globes
Annette Bening,1995,Golden Globes
Geena Davis,1995,Golden Globes
Laura Dern,1995,Golden Globes
Susan Sarandon,1995,Golden Globes
Kathy Bates,1994,Golden Globes
Susan Sarandon,1994,Golden Globes
Joanne Woodward,1994,Golden Globes
Anjelica Huston,1994,Golden Globes
Michelle Pfeiffer,1994,Golden Globes
Michelle Pfeiffer,1993,Golden Globes
Sally Field,1993,Golden Globes
Jessica Lange,1993,Golden Globes
Andie MacDowell,1993,Golden Globes
Liv Ullmann,1993,Golden Globes
Jodie Foster,1992,Golden Globes
Shirley MacLaine,1992,Golden Globes
Sigourney Weaver,1992,Golden Globes
Christine Lahti,1992,Golden Globes
Meryl Streep,1992,Golden Globes
Sally Kirkland,1991,Golden Globes
Glenn Close,1991,Golden Globes
Faye Dunaway,1991,Golden Globes
Rachel Levin,1991,Golden Globes
Barbra Streisand,1991,Golden Globes
Marlee Matlin,1990,Golden Globes
Julie Andrews,1990,Golden Globes
Anne Bancroft,1990,Golden Globes
Farrah Fawcett,1990,Golden Globes
Sigourney Weaver,1990,Golden Globes
Whoopi Goldberg,1989,Golden Globes
Geraldine Page,1989,Golden Globes
Meryl Streep,1989,Golden Globes
Anne Bancroft,1989,Golden Globes
Cher,1989,Golden Globes
Sally Field,1988,Golden Globes
Diane Keaton,1988,Golden Globes
Jessica Lange,1988,Golden Globes
Vanessa Redgrave,1988,Golden Globes
Sissy Spacek,1988,Golden Globes
,1987.0,Golden Globes
,1987.0,Golden Globes
,1987.0,Golden Globes
,1987.0,Golden Globes
,1987.0,Golden Globes
,1986.0,Golden Globes
,1986.0,Golden Globes
,1986.0,Golden Globes
,1986.0,Golden Globes
,1986.0,Golden Globes
Casey Affleck,2020,Golden Globes
Joel Edgerton,2020,Golden Globes
Andrew Garfield,2020,Golden Globes
Viggo Mortensen,2020,Golden Globes
Denzel Washington,2020,Golden Globes
Leonardo DiCaprio,2019,Golden Globes
Michael Fassbender,2019,Golden Globes
Eddie Redmayne,2019,Golden Globes
Bryan Cranston,2019,Golden Globes
Will Smith,2019,Golden Globes
Eddie Redmayne,2018,Golden Globes
Benedict Cumberbatch,2018,Golden Globes
David Oyelowo,2018,Golden Globes
Steve Carell,2018,Golden Globes
Jake Gyllenhaal,2018,Golden Globes
Matthew McConaughey,2017,Golden Globes
Tom Hanks,2017,Golden Globes
Idris Elba,2017,Golden Globes
Robert Redford,2017,Golden Globes
Chiwetel Ejiofor,2017,Golden Globes
Daniel Day-Lewis,2016,Golden Globes
Richard Gere,2016,Golden Globes
Joaquin Phoenix,2016,Golden Globes
Denzel Washington,2016,Golden Globes
John Hawkes,2016,Golden Globes
George Clooney,2015,Golden Globes
Leonardo DiCaprio,2015,Golden Globes
Michael Fassbender,2015,Golden Globes
Ryan Gosling,2015,Golden Globes
Brad Pitt,2015,Golden Globes
Colin Firth,2014,Golden Globes
Mark Wahlberg,2014,Golden Globes
Jesse Eisenberg,2014,Golden Globes
James Franco,2014,Golden Globes
Ryan Gosling,2014,Golden Globes
Jeff Bridges,2013,Golden Globes
George Clooney,2013,Golden Globes
Colin Firth,2013,Golden Globes
Morgan Freeman,2013,Golden Globes
Tobey Maguire,2013,Golden Globes
Mickey Rourke,2012,Golden Globes
Brad Pitt,2012,Golden Globes
Leonardo DiCaprio,2012,Golden Globes
Frank Langella,2012,Golden Globes
Sean Penn,2012,Golden Globes
Daniel Day-Lewis,2011,Golden Globes
Denzel Washington,2011,Golden Globes
George Clooney,2011,Golden Globes
James McAvoy,2011,Golden Globes
Viggo Mortensen,2011,Golden Globes
Forest Whitaker,2010,Golden Globes
Leonardo DiCaprio,2010,Golden Globes
Leonardo DiCaprio,2010,Golden Globes
Peter O'Toole,2010,Golden Globes
Will Smith,2010,Golden Globes
Philip Seymour Hoffman,2009,Golden Globes
Russell Crowe,2009,Golden Globes
Terrence Howard,2009,Golden Globes
Heath Ledger,2009,Golden Globes
David Strathairn,2009,Golden Globes
Leonardo DiCaprio,2008,Golden Globes
Javier Bardem,2008,Golden Globes
Don Cheadle,2008,Golden Globes
Johnny Depp,2008,Golden Globes
Liam Neeson,2008,Golden Globes
Sean Penn,2007,Golden Globes
Russell Crowe,2007,Golden Globes
Tom Cruise,2007,Golden Globes
Ben Kingsley,2007,Golden Globes
Jude Law,2007,Golden Globes
Jack Nicholson,2006,Golden Globes
Leonardo DiCaprio,2006,Golden Globes
Adrien Brody,2006,Golden Globes
Michael Caine,2006,Golden Globes
Daniel Day-Lewis,2006,Golden Globes
Russell Crowe,2005,Golden Globes
Kevin Spacey,2005,Golden Globes
Will Smith,2005,Golden Globes
Billy Bob Thornton,2005,Golden Globes
Denzel Washington,2005,Golden Globes
Tom Hanks,2004,Golden Globes
Javier Bardem,2004,Golden Globes
Russell Crowe,2004,Golden Globes
Michael Douglas,2004,Golden Globes
Geoffrey Rush,2004,Golden Globes
Denzel Washington,2003,Golden Globes
Russell Crowe,2003,Golden Globes
Matt Damon,2003,Golden Globes
Richard Farnsworth,2003,Golden Globes
Kevin Spacey,2003,Golden Globes
Jim Carrey,2002,Golden Globes
Nick Nolte,2002,Golden Globes
Stephen Fry,2002,Golden Globes
Tom Hanks,2002,Golden Globes
Ian McKellen,2002,Golden Globes
Peter Fonda,2001,Golden Globes
Matt Damon,2001,Golden Globes
Daniel Day-Lewis,2001,Golden Globes
Leonardo DiCaprio,2001,Golden Globes
Djimon Hounsou,2001,Golden Globes
Geoffrey Rush,2000,Golden Globes
Ralph Fiennes,2000,Golden Globes
Mel Gibson,2000,Golden Globes
Woody Harrelson,2000,Golden Globes
Liam Neeson,2000,Golden Globes
Nicolas Cage,1999,Golden Globes
Ian McKellen,1999,Golden Globes
Sean Penn,1999,Golden Globes
Richard Dreyfuss,1999,Golden Globes
Anthony Hopkins,1999,Golden Globes
Tom Hanks,1998,Golden Globes
Morgan Freeman,1998,Golden Globes
Paul Newman,1998,Golden Globes
Brad Pitt,1998,Golden Globes
John Travolta,1998,Golden Globes
Tom Hanks,1997,Golden Globes
Daniel Day-Lewis,1997,Golden Globes
Harrison Ford,1997,Golden Globes
Anthony Hopkins,1997,Golden Globes
Liam Neeson,1997,Golden Globes
Al Pacino,1996,Golden Globes
Denzel Washington,1996,Golden Globes
Tom Cruise,1996,Golden Globes
Robert Downey Jr.,1996,Golden Globes
Jack Nicholson,1996,Golden Globes
Nick Nolte,1995,Golden Globes
Warren Beatty,1995,Golden Globes
Kevin Costner,1995,Golden Globes
Robert De Niro,1995,Golden Globes
Anthony Hopkins,1995,Golden Globes
Jeremy Irons,1994,Golden Globes
Kevin Costner,1994,Golden Globes
Richard Harris,1994,Golden Globes
Al Pacino,1994,Golden Globes
Robin Williams,1994,Golden Globes
Tom Cruise,1993,Golden Globes
Al Pacino,1993,Golden Globes
Robin Williams,1993,Golden Globes
Daniel Day-Lewis,1993,Golden Globes
Jack Lemmon,1993,Golden Globes
Dustin Hoffman,1992,Golden Globes
Gene Hackman,1992,Golden Globes
Tom Hulce,1992,Golden Globes
Edward James Olmos,1992,Golden Globes
Forest Whitaker,1992,Golden Globes
Michael Douglas,1991,Golden Globes
John Lone,1991,Golden Globes
Jack Nicholson,1991,Golden Globes
Nick Nolte,1991,Golden Globes
Denzel Washington,1991,Golden Globes
Bob Hoskins,1990,Golden Globes
Harrison Ford,1990,Golden Globes
Dexter Gordon,1990,Golden Globes
William Hurt,1990,Golden Globes
Jeremy Irons,1990,Golden Globes
Paul Newman,1989,Golden Globes
Jon Voight,1989,Golden Globes
Raul Julia,1989,Golden Globes
Harrison Ford,1989,Golden Globes
Gene Hackman,1989,Golden Globes
William Hurt,1988,Golden Globes
F. Murray Abraham,1988,Golden Globes
Jeff Bridges,1988,Golden Globes
Albert Finney,1988,Golden Globes
Tom Hulce,1988,Golden Globes
Sam Waterston,1987,Golden Globes
,1987.0,Golden Globes
,1987.0,Golden Globes
,1987.0,Golden Globes
,1987.0,Golden Globes
,1986.0,Golden Globes
,1986.0,Golden Globes
,1986.0,Golden Globes
,1986.0,Golden Globes
,1986.0,Golden Globes
Emma Stone,2020,Golden Globes
Annette Bening,2020,Golden Globes
Lily Collins,2020,Golden Globes
Hailee Steinfeld,2020,Golden Globes
Meryl Streep,2020,Golden Globes
Jennifer Lawrence,2019,Golden Globes
Amy Schumer,2019,Golden Globes
Lily Tomlin,2019,Golden Globes
Melissa McCarthy,2019,Golden Globes
Maggie Smith,2019,Golden Globes
Amy Adams,2018,Golden Globes
Emily Blunt,2018,Golden Globes
Helen Mirren,2018,Golden Globes
Julianne Moore,2018,Golden Globes
Quvenzhané Wallis,2018,Golden Globes
Amy Adams,2017,Golden Globes
Julia Louis-Dreyfus,2017,Golden Globes
Greta Gerwig,2017,Golden Globes
Meryl Streep,2017,Golden Globes
Julie Delpy,2017,Golden Globes
Jennifer Lawrence,2016,Golden Globes
Emily Blunt,2016,Golden Globes
Judi Dench,2016,Golden Globes
Maggie Smith,2016,Golden Globes
Meryl Streep,2016,Golden Globes
Michelle Williams,2015,Golden Globes
Jodie Foster,2015,Golden Globes
Charlize Theron,2015,Golden Globes
Kristen Wiig,2015,Golden Globes
Kate Winslet,2015,Golden Globes
Annette Bening,2014,Golden Globes
Anne Hathaway,2014,Golden Globes
Angelina Jolie,2014,Golden Globes
Julianne Moore,2014,Golden Globes
Emma Stone,2014,Golden Globes
Meryl Streep,2013,Golden Globes
Sandra Bullock,2013,Golden Globes
Marion Cotillard,2013,Golden Globes
Julia Roberts,2013,Golden Globes
Meryl Streep,2013,Golden Globes
Sally Hawkins,2012,Golden Globes
Rebecca Hall,2012,Golden Globes
Frances McDormand,2012,Golden Globes
Meryl Streep,2012,Golden Globes
Emma Thompson,2012,Golden Globes
Marion Cotillard,2011,Golden Globes
Helena Bonham Carter,2011,Golden Globes
Ellen Page,2011,Golden Globes
Nikki Blonsky,2011,Golden Globes
Amy Adams,2011,Golden Globes
Meryl Streep,2010,Golden Globes
Toni Collette,2010,Golden Globes
Beyoncé,2010,Golden Globes
Renée Zellweger,2010,Golden Globes
Annette Bening,2010,Golden Globes
Reese Witherspoon,2009,Golden Globes
Judi Dench,2009,Golden Globes
Keira Knightley,2009,Golden Globes
Laura Linney,2009,Golden Globes
Sarah Jessica Parker,2009,Golden Globes
Annette Bening,2008,Golden Globes
Ashley Judd,2008,Golden Globes
Renée Zellweger,2008,Golden Globes
Kate Winslet,2008,Golden Globes
Emmy Rossum,2008,Golden Globes
Diane Keaton,2007,Golden Globes
Helen Mirren,2007,Golden Globes
Jamie Lee Curtis,2007,Golden Globes
Scarlett Johansson,2007,Golden Globes
Diane Lane,2007,Golden Globes
Renée Zellweger,2006,Golden Globes
Maggie Gyllenhaal,2006,Golden Globes
Goldie Hawn,2006,Golden Globes
Nia Vardalos,2006,Golden Globes
Catherine Zeta-Jones,2006,Golden Globes
Nicole Kidman,2005,Golden Globes
Reese Witherspoon,2005,Golden Globes
Renée Zellweger,2005,Golden Globes
Thora Birch,2005,Golden Globes
Cate Blanchett,2005,Golden Globes
Renée Zellweger,2004,Golden Globes
Juliette Binoche,2004,Golden Globes
Brenda Blethyn,2004,Golden Globes
Sandra Bullock,2004,Golden Globes
Tracey Ullman,2004,Golden Globes
Janet McTeer,2003,Golden Globes
Julianne Moore,2003,Golden Globes
Julia Roberts,2003,Golden Globes
Sharon Stone,2003,Golden Globes
Reese Witherspoon,2003,Golden Globes
Gwyneth Paltrow,2002,Golden Globes
Cameron Diaz,2002,Golden Globes
Jane Horrocks,2002,Golden Globes
Christina Ricci,2002,Golden Globes
Meg Ryan,2002,Golden Globes
Helen Hunt,2001,Golden Globes
Jennifer Lopez,2001,Golden Globes
Julia Roberts,2001,Golden Globes
Joey Lauren Adams,2001,Golden Globes
Pam Grier,2001,Golden Globes
Madonna,2000,Golden Globes
Glenn Close,2000,Golden Globes
Frances McDormand,2000,Golden Globes
Debbie Reynolds,2000,Golden Globes
Barbra Streisand,2000,Golden Globes
Nicole Kidman,1999,Golden Globes
Toni Collette,1999,Golden Globes
Vanessa Redgrave,1999,Golden Globes
Annette Bening,1999,Golden Globes
Sandra Bullock,1999,Golden Globes
Jamie Lee Curtis,1998,Golden Globes
Geena Davis,1998,Golden Globes
Andie MacDowell,1998,Golden Globes
Shirley MacLaine,1998,Golden Globes
Emma Thompson,1998,Golden Globes
Angela Bassett,1997,Golden Globes
Stockard Channing,1997,Golden Globes
Anjelica Huston,1997,Golden Globes
Diane Keaton,1997,Golden Globes
Meg Ryan,1997,Golden Globes
Miranda Richardson,1996,Golden Globes
Meryl Streep,1996,Golden Globes
Geena Davis,1996,Golden Globes
Whoopi Goldberg,1996,Golden Globes
Shirley MacLaine,1996,Golden Globes
Bette Midler,1995,Golden Globes
Anjelica Huston,1995,Golden Globes
Michelle Pfeiffer,1995,Golden Globes
Ellen Barkin,1995,Golden Globes
Kathy Bates,1995,Golden Globes
Julia Roberts,1994,Golden Globes
Mia Farrow,1994,Golden Globes
Andie MacDowell,1994,Golden Globes
Demi Moore,1994,Golden Globes
Meryl Streep,1994,Golden Globes
Jessica Tandy,1993,Golden Globes
Pauline Collins,1993,Golden Globes
Meg Ryan,1993,Golden Globes
Meryl Streep,1993,Golden Globes
Kathleen Turner,1993,Golden Globes
Melanie Griffith,1992,Golden Globes
Susan Sarandon,1992,Golden Globes
Jamie Lee Curtis,1992,Golden Globes
Amy Irving,1992,Golden Globes
Michelle Pfeiffer,1992,Golden Globes
Cher,1991,Golden Globes
Jennifer Grey,1991,Golden Globes
Holly Hunter,1991,Golden Globes
Diane Keaton,1991,Golden Globes
Bette Midler,1991,Golden Globes
Sissy Spacek,1990,Golden Globes
Julie Andrews,1990,Golden Globes
